"MCF7_RNA_seq$gene","MCF7_RNA_seq$TPM","MCF7_RNA_seq_3$TPM","MCF7_RNA_seq_5$TPM","MCF7_RNA_seq_7$TPM","MCF7_RNA_seq_8$TPM","MCF7_RNA_seq_9$TPM","mean"
"MT-RNR2",44241.12,50088.78,44241.12,45400.3,51875.46,45400.3,46874.5133333333
"MT-CO1",18412.84,23212.18,18412.84,16218.09,20684.45,16218.09,18859.7483333333
"MT-CO2",17222.02,22856.03,17222.02,16699.64,22283.82,16699.64,18830.5283333333
"MT-ND4L",15318.29,18353.54,15318.29,14766.48,17665.68,14766.48,16031.46
"MT-ND4",8903.12,12446.99,8903.12,8614.7,12071.46,8614.7,9925.68166666667
"MT-RNR1",8391.07,12023.8,8391.07,8156.72,11778.49,8156.72,9482.97833333333
"7SK",6.13,14.91,6.13,19276.55,11465.85,19276.55,8341.02
"MT-ATP6",7220.35,9717.74,7220.35,7271.63,9781.16,7271.63,8080.47666666667
"RPS29",6701.08,6109.97,6665.65,6580.06,5989.26,6557.05,6433.845
"MT-ND5",5250.52,7675.08,5250.52,5080.66,7458.87,5080.66,5966.05166666667
"RPL30",6069.36,6624.19,5509.65,5894.95,5735.83,5346.26,5863.37333333333
"RPL41",11357.9,11049.91,109.63,10938.39,176.15,105.79,5622.96166666667
"RPS21",5379.67,6120.51,5291.93,5242.91,5909.3,5157.57,5516.98166666667
"MT-CO3",5033.81,6127.91,5033.81,4837.64,5885.55,4837.64,5292.72666666667
"MT-CYB",4866.51,6230.43,4866.51,4718.7,6070.72,4718.7,5245.26166666667
"EEF1A1",6277.05,7249.63,3282.33,6073.97,4773.4,3266.59,5153.82833333333
"MT-ND2",4788.71,6008.9,4788.71,4692.05,5945.04,4692.05,5152.57666666667
"RPL41P1",0,0,0,25170.76,0,0,4195.12666666667
"RPL39",3581.4,4270.73,3578.52,3482.57,4168.34,3479.77,3760.22166666667
"RPL26",4152.73,5145.31,21.14,4079.71,5036.06,4028.15,3743.85
"RPS27",3316.73,4003.2,3294.24,3561.94,4304.09,3542.24,3670.40666666667
"PPIA",4324.74,4457.13,2271.55,4190.28,2427.64,2321.4,3332.12333333333
"KRT8",4162.51,4466.6,1334.74,4078.14,1376.06,2506.72,2987.46166666667
"RPS24",4232.53,4543.35,1197.7,5395.15,661.34,458.9,2748.16166666667
"RPS15A",5124.16,5830.07,46.43,4977.77,60.95,45.03,2680.735
"GAPDH",3937.85,3026.92,1621.21,3636.82,1538.03,1535.43,2549.37666666667
"RPL12",2519.78,2508.25,2475.94,2445.3,2413.76,2402.52,2460.925
"RPS18",2502.26,2762.59,2308.72,2428.53,2523.47,2235.66,2460.205
"MT-ND1",2338.86,2564.35,2338.86,2264.92,2497.97,2264.92,2378.31333333333
"MT-ND6",2108.49,2677.85,2108.49,2042.97,2597.18,2042.97,2262.99166666667
"RPS3",4317.58,4302.8,56.95,4191.3,58.85,59.26,2164.45666666667
"RPS11",3400.41,3703.06,798.73,3301.84,1007.13,768.04,2163.20166666667
"RPS3A",2343.29,3117.03,1521.06,2274.57,1919.49,1456.36,2105.3
"RPS20",1934.13,2176.78,1891.98,1876.92,2076.53,1836.97,1965.55166666667
"RPS12",1921.41,2224.93,1864.41,1865.14,2092.93,1809.48,1963.05
"RPL35",2241.27,1414.14,2206.09,2165.51,1356.05,2145.1,1921.36
"RPS23",3681.9,3740.47,19.12,3578.56,21.51,18.33,1843.315
"RPS25",3846.55,3214.4,36.84,3733.62,43.57,35.77,1818.45833333333
"RPL36A",3370.18,4096.03,3.04,2868.42,2.98,3.51,1724.02666666667
"RPL11",1446.56,1540.39,460.96,2332.32,2176.39,2219.16,1695.96333333333
"RPL7",1702.55,2212.45,1298.56,1644.1,1666.15,1260.39,1630.7
"RPL10",3334.45,2946.22,0,3272.22,3.93,2.75,1593.26166666667
"TPT1",2987.21,3786.83,157.55,2595.19,6.67,5.36,1589.80166666667
"RPL23AP42",2147.34,2634.33,2147.34,2087.18,15.89,9.11,1506.865
"MYL6",3127.63,2795.84,0,3034.94,0.15,0.27,1493.13833333333
"RPS14",3688.95,4195.07,43.88,890.42,47.17,36.82,1483.71833333333
"RPL27",1423.41,1606.14,1352.46,1472.21,1587.81,1405.1,1474.52166666667
"RPS10",1963.45,1972.41,26.89,1631.94,1620.53,1605.96,1470.19666666667
"KRT18",2818.21,1671.91,652.29,2731.86,265.66,648.56,1464.74833333333
"RAN",2349.12,2392.15,741.36,2029.49,649.21,572.16,1455.58166666667
